Le Livre d'Ymir
http://bookofymir.free.fr/

Projet eAthena FR Stable
Avancement des Traductions

//Dossier//
nomdufichier.txt			avancement		nom du traducteur	nom du correcteur

//Airports//
airports/airships.txt			100%			Irreal,Myllena		Myllena, Fern
airports/einbroch.txt			100%			Myllena			Myllena, Fern
airports/lighthalzen.txt		100%			Myllena			Myllena, Fern
airports/yuno.txt			100%			Myllena			Myllena, Fern


//Cities//
cities/alberta.txt			100%			Myllena			Myllena
cities/aldebaran.txt			100%			Myllena			Myllena
cities/amatsu.txt			100%			Myllena			Myllena
cities/ayothaya.txt			100%			Myllena			Myllena
cities/comodo.txt			100%			Myllena			Myllena
cities/einbech.txt			100%			Irreal			Myllena
cities/einbroch.txt			100%			Myllena			Myllena
cities/geffen.txt			-			
cities/gonryun.txt			100%			MageGaHell,Myllena	Myllena
cities/hugel.txt			100%			Myllena			Myllena
cities/izlude.txt			100%			Myllena			Myllena
cities/jawaii.txt			100%			MageGaHell		Myllena
cities/lighthalzen.txt			100%			Atikae			Fern, Myllena			
cities/louyang.txt			100%			Myllena			Myllena
cities/lutie.txt			100%			Zack			Myllena
cities/morocc.txt			100%			Myllena			Myllena
cities/niflheim.txt			100%			Myllena			Myllena
cities/payon.txt			100%			Myllena			Myllena
cities/prontera.txt			100%			Irreal			Myllena
cities/rachel.txt			100%			Atikae			Myllena
cities/umbala.txt			100%			Iria			Myllena
cities/yuno.txt				100%			Myllena			Myllena
cities/veins.txt			100%			Myllena			Myllena

//Custom//
custom/adoption.txt			100%			Myllena			Myllena
custom/bongunsword.txt			100%			Myllena			Myllena
custom/dye.txt				100%			Myllena			Myllena
custom/sign_your_items.txt		100%			Myllena			Myllena

//Custom//Banks//
custom/banks/bank.txt			100%			Myllena			Myllena

//Custom//eAAC_Scripts//
custom/eAAC_Scripts/
à venir

//Events//
events/xmas.txt				100%			Myllena			Myllena

//Events//Nguild//
events/nguild/nguild_dunsw.txt		100%			Myllena			Myllena
events/nguild/nguild_ev_agit.txt	100%			Myllena			Myllena
events/nguild/nguild_flags.txt		100%			Myllena			Myllena
events/nguild/nguild_kafras.txt		100%			Myllena			Myllena
events/nguild/nguild_managers.txt	100%			Myllena			Myllena
events/nguild/nguild_warper.txt		100%			Myllena			Myllena


//Guides//
guides/guides_alb.txt			100%			Myllena			Myllena
guides/guides_alde.txt			100%			Myllena			Myllena
guides/guides_ama.txt			100%			Myllena			Myllena
guides/guides_ayo.txt			100%			Myllena			Myllena
guides/guides_cmd.txt			100%			Myllena			Myllena
guides/guides_einbe.txt			100%			Myllena			Myllena
guides/guides_einbr.txt			100%			Myllena			Myllena
guides/guides_gef.txt			100%			Myllena			Myllena
guides/guides_gon.txt			100%			Myllena			Myllena
guides/guides_hu.txt			100%			Myllena			Myllena
