-----------------------Fichiers déjà mis à jour---------------
-----------------------------|--------------------------------
-----------------------------|--------------------------------
-----------------------------|--------------------------------
---------------------------- |--------------------------------
----------------------------\/--------------------------------

------------------------Updates-------------------------------

Updated: guides\guides_louyang.txt
Updated: Changelog.txt  
Updated: other\pvp.txt  
Updated: warps\cities\ayothaya.txt  
Updated: warps\cities\comodo.txt  
Updated: warps\cities\veins.txt  
Updated: warps\cities\payon.txt  
Updated: warps\cities\einbroch.txt  
Updated: warps\cities\geffen.txt  
Updated: warps\cities\amatsu.txt  
Updated: warps\cities\prontera.txt  
Updated: warps\cities\niflheim.txt  
Updated: warps\cities\rachel.txt  
Updated: warps\cities\aldebaran.txt  
Updated: warps\other\kiel.txt  
Updated: warps\other\arena.txt  
Updated: warps\dungeons\ice_dun.txt  
Updated: warps\dungeons\xmas_dun.txt  
Updated: warps\dungeons\thor_v.txt  
Updated: guides\guides_pron.txt  
Updated: sample\npc_dynamic_shop.txt 
Updated: other\books.txt
Updated: warps\cities\nameless.txt
Updated: warps\dungeons\um_dun.txt  
Updated: warps\dungeons\odin.txt  
Updated: warps\dungeons\tha_t.txt  
Updated: warps\guild\guildcastles.txt  
Updated: warps\fields\hugel_fild.txt  
Updated: warps\fields\mtmjolnir.txt  
Updated: warps\fields\glastheim.txt  
Updated: warps\fields\veins_fild.txt  
Updated: warps\fields\payon_fild.txt  
Updated: warps\fields\lhalzen_fild.txt  
Updated: warps\fields\rachel_fild.txt  
Updated: warps\fields\morroc_fild.txt  
Updated: mobs\dungeons\abbey.txt  
Updated: mobs\fields\niflheim.txt 
Updated: events\event_skill_reset.txt  
Updated: events\easter.txt  
Updated: events\twintowers.txt  
Updated: events\valentinesday.txt  
Updated: events\whiteday.txt  
Updated: events\idul_fitri.txt  
Updated: events\dumplingfestival.txt  
Updated: events\custom\uneasy_cemetery.txt  
Updated: events\custom\2006_dogs_year.txt  
Updated: events\custom\draculax.txt  
Updated: events\custom\valentinesdayexp.txt  
Updated: events\custom\xmas_rings_event.txt  
Updated: events\custom\hallow06.txt  
Updated: events\custom\kings_items.txt  
Updated: events\custom\hyegun_event.txt 
Updated: eamobs\dungeons\geftower.txt  
Updated: eamobs\dungeons\moc_pyramid.txt  
Updated: eamobs\dungeons\byalan.txt  
Updated: eamobs\dungeons\coalmine.txt  
Updated: eamobs\dungeons\moc_sphinx.txt  
Updated: eamobs\dungeons\sunkenship.txt  
Updated: eamobs\dungeons\jupedun.txt  
Updated: eamobs\dungeons\clocktower.txt  
Updated: eamobs\dungeons\glastheim.txt  
Updated: eamobs\fields\umbala.txt  
Updated: eamobs\fields\mjolnir.txt  
Updated: eamobs\fields\comodo.txt  
Updated: eamobs\Whats done.txt  
Updated: eamobs\jro\other.txt  
Updated: eamobs\jro\jro.txt  
Updated: custom\lottery.txt  
Updated: custom\shifty_assassin.txt  
Updated: custom\platinum_skills.txt  
Updated: custom\healers\heal_payment.txt  
Updated: custom\healers\heal.txt  
Updated: custom\market.txt  
Updated: custom\rpsroulette.txt  
Updated: custom\penal_servitude.txt  
Updated: custom\Auctioneer.txt  
Updated: custom\mvm.txt  
Updated: custom\eAAC_Scripts\quest_warper.txt  
